example_id                                                   | status | run_time        |
./spec/services/data_retention_purger_spec.rb[1:3:1]         | passed | 0.00034 seconds |
./spec/services/data_retention_purger_spec.rb[1:4:1]         | passed | 0.00127 seconds |
./spec/services/data_retention_purger_spec.rb[1:5:1]         | passed | 0.0002 seconds  |
./spec/services/finding_normalizer_spec.rb[1:1:1]            | passed | 0.00288 seconds |
./spec/services/finding_normalizer_spec.rb[1:1:2]            | passed | 0.00472 seconds |
./spec/services/finding_normalizer_spec.rb[1:1:3]            | passed | 0.00375 seconds |
./spec/services/finding_normalizer_spec.rb[1:1:4]            | passed | 0.00375 seconds |
./spec/services/finding_normalizer_spec.rb[1:1:5]            | passed | 0.0023 seconds  |
./spec/services/finding_normalizer_spec.rb[1:1:6]            | passed | 0.00538 seconds |
./spec/services/notification_service_spec.rb[1:1:1:1]        | passed | 0.00359 seconds |
./spec/services/notification_service_spec.rb[1:1:1:2]        | passed | 0.00991 seconds |
./spec/services/notification_service_spec.rb[1:1:1:3]        | passed | 0.00232 seconds |
./spec/services/notification_service_spec.rb[1:1:2:1]        | passed | 0.00136 seconds |
./spec/services/notification_service_spec.rb[1:1:3:1]        | passed | 0.00259 seconds |
./spec/services/notifiers/slack_alert_spec.rb[1:1:1]         | passed | 0.00228 seconds |
./spec/services/notifiers/slack_alert_spec.rb[1:1:2]         | passed | 0.00257 seconds |
./spec/services/notifiers/slack_alert_spec.rb[1:1:3]         | passed | 0.00257 seconds |
./spec/services/notifiers/slack_alert_spec.rb[1:1:4]         | passed | 0.00141 seconds |
./spec/services/notifiers/slack_alert_spec.rb[1:1:5]         | passed | 0.00262 seconds |
./spec/services/notifiers/slack_alert_spec.rb[1:1:6]         | passed | 0.00262 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:1]    | passed | 0.00083 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:2]    | passed | 0.00028 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:3]    | passed | 0.00026 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:4]    | passed | 0.00028 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:5]    | passed | 0.00048 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:6]    | passed | 0.00037 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:7]    | passed | 0.00032 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:8]    | passed | 0.00034 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:9]    | passed | 0.00012 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:10]   | passed | 0.00047 seconds |
./spec/services/result_parsers/dawn_parser_spec.rb[1:1:11]   | passed | 0.00041 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:1]    | passed | 0.00078 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:2]    | passed | 0.00028 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:3]    | passed | 0.00026 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:4]    | passed | 0.00054 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:5]    | passed | 0.00083 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:6]    | passed | 0.00026 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:7]    | passed | 0.00025 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:8]    | passed | 0.00028 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:9]    | passed | 0.00018 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:10]   | passed | 0.00026 seconds |
./spec/services/result_parsers/ffuf_parser_spec.rb[1:1:11]   | passed | 0.00044 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:1]   | passed | 0.00026 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:2]   | passed | 0.00028 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:3]   | passed | 0.00025 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:4]   | passed | 0.00024 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:5]   | passed | 0.00051 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:6]   | passed | 0.00025 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:7]   | passed | 0.00034 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:8]   | passed | 0.00026 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:9]   | passed | 0.00032 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:10]  | passed | 0.00028 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:11]  | passed | 0.00033 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:12]  | passed | 0.00008 seconds |
./spec/services/result_parsers/nikto_parser_spec.rb[1:1:13]  | passed | 0.00045 seconds |
./spec/services/result_parsers/nuclei_parser_spec.rb[1:1:1]  | passed | 0.0004 seconds  |
./spec/services/result_parsers/nuclei_parser_spec.rb[1:1:2]  | passed | 0.00012 seconds |
./spec/services/result_parsers/nuclei_parser_spec.rb[1:1:3]  | passed | 0.00012 seconds |
./spec/services/result_parsers/nuclei_parser_spec.rb[1:1:4]  | passed | 0.00011 seconds |
